SpecLabel,ModelKey,ColumnLabel,Name,NegLogLik,NTrialsLoss,NegLogLikPerTrial,FitObjective,Filename,Error,NTrialsTotal
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,Avgat1,416623.60975088447,3115,133.747547271552,259.1066212979902,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,4862
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,Avgat3,108564.4220073401,2512,43.21832086279462,118.03645152653641,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,4096
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,GP4-85,68438.4655733209,3512,19.48703461654923,53.82885312145006,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,5850
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,RDK_WT1,28388.513400214575,2692,10.5455101783858,77.61843461608031,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,3584
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,Rbp4_M2_1,29919.245866027617,3690,8.1081967116606,161.25830401831632,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,7182
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,vgat-40,99951.268250514,7456,13.405481256774946,77.80537358107173,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,13464
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,vgat-94,267233.0385445868,12525,21.335971141284375,212.12179364409047,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,23000
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,vgat-96,163547.42306719226,9791,16.703852830884717,426.437207001919,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,18262
Chi²-only,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",Chi²-Noise,vgatchr2-sk,65619.42648370279,2990,21.946296482843742,51.36314508801672,"chisq_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,7395
Pure MLE,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",MLE,Avgat1,1999.3919271273144,3115,0.6418593666540335,1999.3152011272123,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,4862
Pure MLE,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",MLE,Avgat3,1638.9389171872235,2512,0.652443836459882,1638.8410170228808,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,4096
Pure MLE,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",MLE,GP4-85,5029.209248226345,3512,1.4320071891305084,4995.895166306094,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,5850
Pure MLE,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",MLE,RDK_WT1,2929.8222380604393,2692,1.0883440706019463,2918.052798178321,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,3584
Pure MLE,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym",MLE,Rbp4_M2_1,5276.681563700302,3690,1.4299950037128188,5271.081991165938,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005.pkl",,7182
